,"OKFFI ry 2014","school of data.fi","Datademo 2014 / Open Knowledge Finland ry","Avoin GLAM 2014 / Open Knowledge Finland ry","Tukea avoimeen lisensointiin -projekti / Open Knowledge Finland ry","My Data  / Open Knowledge Finland ry","Open Decisions / OKF FInland","OKFFI - Open Knowledge Roadshow 2013","D-CENT / Open Knowledge Finland ry","Sujuvuusnavigaattori / Open Knowledge Finland ry","6. aika / Open Knowledge Finland ry","Kohti avointa kulttuuria -projekti / Open Knowledge Finland ry","Apps4Finland / Open Knowledge Finland ry","OKFFI ry 2013"
"Tarjoilut",-0,-0,-0,-0,-0,-0,-0,-5451.34,-0,-0,-0,-0,-0,-0
"Tilakustannukset",-0,-0,-0,-0,-0,-0,-0,-132.00,-0,-0,-0,-0,-0,-0
"Bookkeeping etc",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-270.82
"OKF-koordinointi",-0,-0,-0,-0,-3000.00,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Mgmt overhead WP6",-0,-0,-0,-0,-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0
"Energy Hackathon",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-798.40
"Tase",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-11534.20
"Hallinnointikulut",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-697.30,-0,-0,-0
"Kouluttajien palkkiot",-0,-0,-0,-0,-4513.60,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Book keeping and banking",-2239.13,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Travel costs",-461.13,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Other costs",-248.00,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Admin costs",-861.73,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Purchases",-101.56,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Tukea av. lisensointiin -hanke",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-20000.00
"Muut kulut kiertuekaupungeissa",-0,-0,-0,-0,-0,-0,-0,-918.25,-0,-0,-0,-0,-0,-0
